hotel_name, class_of_rating, rating_score
Amazing Apartment- Walking Distance to Times SQ,very good,8.3
Times Square Lux Highrise,good,7.8
Beautiful apartment next to Central Park,good,7.6
Spacious Apartment in Prime Location,good,7.7
Midtown East Spacious Apartment,good,7.1
Heart of Midtown,N/A,N/A
Nice Apartment in the Heart of Upper East Side,very good,8.5
John Street Apartment,N/A,N/A
East Village Apartments,wonderful,9.4
Sanctuary NYC Retreats,excellent,8.7
The Allen Hotel,excellent,8.7
Midtown West 2 Bedroom Apartment,excellent,8.6
Tribeca Lofts,good,7.7
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,excellent,8.9
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
New York Marriott Marquis,very good,8.2
AKA Central Park,excellent,8.6
Apartments Upper West Side,N/A,N/A
Holiday Inn Express - Times Square South,very good,8.3
Residence Inn by Marriott New York Manhattan/Central Park,very good,8.3
Beautiful apartment next to Central Park,good,7.6
Crowne Plaza Times Square,very good,8.2
The Allen Hotel,excellent,8.7
The Dominick Hotel,very good,8.5
Midtown East Spacious Apartment,good,7.1
Sofitel New York,excellent,8.6
AKA Wall Street,wonderful,9.2
Heart of Midtown,N/A,N/A
The Manhattan at Times Square,good,7.0
Midtown West 2 Bedroom Apartment,excellent,8.6
Hotel Central Fifth Avenue,good,7.7
Dream Midtown,very good,8.2
Oakwood at the Nash,excellent,8.7
The William,wonderful,9.0
Hotel Lucerne,very good,8.5
Westin New York at Times Square,very good,8.0
Hotel Wales,very good,8.1
Sanctuary NYC Retreats,excellent,8.7
Four Points by Sheraton Manhattan Chelsea,very good,8.2
Best Western Premier Herald Square,very good,8.5
Royalton New York,very good,8.1
Nice Apartment in the Heart of Upper East Side,very good,8.5
East Village Apartments,wonderful,9.4
John Street Apartment,N/A,N/A
Amsterdam Court Hotel,good,7.3
Midtown East Deluxe 2 Bedroom Apartment,good,7.5
Cachet Boutique Hotel NYC,very good,8.0
Hilton Garden Inn New York Times Square South,excellent,8.7
Aloft Manhattan Downtown - Financial District,very good,8.2
Moderne Hotel,very good,8.5
AKA Sutton Place,wonderful,9.3
Hotel on Rivington,very good,8.4
Mondrian Park Avenue,excellent,8.9
Avalon Hotel,very good,8.4
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
Hampton Inn Manhattan - Times Square South,very good,8.3
Bentley Hotel,good,7.7
6th Ave Apartment,good,7.5
Chalsea Studio,wonderful,9.3
Holiday Inn Manhattan Financial District,very good,8.2
Club Quarters Hotel World Trade Center,excellent,8.6
Hilton New York Grand Central,good,7.5
Hotel on Rivington,very good,8.4
Mondrian Park Avenue,excellent,8.9
Gramercy Park Hotel,very good,8.4
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
Hampton Inn Manhattan - Times Square South,very good,8.3
Bentley Hotel,good,7.7
6th Ave Apartment,good,7.5
Chalsea Studio,wonderful,9.3
Hampton Inn Times Square Central,excellent,8.8
Hampton Inn Manhattan-SoHo| NY,good,7.9
Courtyard New York Manhattan/Midtown East,very good,8.3
Global Luxury Suites at 90 Washington,N/A,N/A
DoubleTree by Hilton New York Times Square South,good,7.4
Today House - Times Square North,wonderful,9.4
Hamilton Heights Lovely Apartments,good,7.6
Q&A Residential Hotel,wonderful,9.1
The Ritz-Carlton New York| Battery Park Hotel,excellent,8.6
Hilton Garden Inn New York/Tribeca,very good,8.2
Manhattan NYC,N/A,N/A
Four-Bedroom Chelsea Apartment,N/A,N/A
Global Luxury Suites at Ritz Plaza,N/A,N/A
Your Home in Harlem,excellent,8.8
Global Luxury Suites at The Pearl,N/A,N/A
Home NYC,exceptional,9.6
Central Park N Residence,wonderful,9.4
Eli place Room C,N/A,N/A
Radisson Martinique on Broadway,very good,8.2
Oakwood at 830 8th Ave,N/A,N/A
Soho Penthouse,N/A,N/A
Quaint one bedroom close to the UN,N/A,N/A
Times Square HighLine Two Bedroom,N/A,N/A
MADE Hotel,wonderful,9.1
Home Away From Home,good,7.9
LUMA Hotel - Times Square,wonderful,9.2
Amazing Apartment- Walking Distance to Times SQ,very good,8.3
2 Bedroom Apartment in Hell's Kitchen,N/A,N/A
8th Avenue Apartment Apt C,N/A,N/A
Splendid Apartment by Times SQ,very good,8.2
The Gatsby Hotel,N/A,N/A
Cassa NYC 70W45,N/A,N/A
Hotel Edison Times Square,good,7.5
Park Lane Hotel - A Central Park Hotel,good,7.7
Gansevoort Meatpacking,very good,8.3
Trump International New York,excellent,8.8
Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,N/A,N/A
Warwick New York,very good,8.5
citizenM New York Times Square,wonderful,9.2
Residence Inn by Marriott New York Manhattan/Times Square,very good,8.2
The Standard| High Line New York,very good,8.3
The Watson Hotel,good,7.8
Hyatt Centric Times Square New York,excellent,8.8
West 86th Apartment,N/A,N/A
Element Times Square West,very good,8.0
Ultra design and luxurious Apartment - Doorman and Gym,N/A,N/A
La Quinta Inn & Suites Manhattan,very good,8.0
Very Central West Village Apartment,N/A,N/A
Carnegie Hotel,excellent,8.9
Executive Hotel Le Soleil New York,excellent,8.6
Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,N/A,N/A
Warwick New York,very good,8.5
citizenM New York Times Square,wonderful,9.2
The Standard| High Line New York,very good,8.3
The Watson Hotel,good,7.8
West 86th Apartment,N/A,N/A
Element Times Square West,very good,8.0
Ultra design and luxurious Apartment - Doorman and Gym,N/A,N/A
La Quinta Inn & Suites Manhattan,very good,8.0
Very Central West Village Apartment,N/A,N/A
Carnegie Hotel,excellent,8.9
Executive Hotel Le Soleil New York,excellent,8.6
Blakely New York Hotel,excellent,8.6
Courtyard by Marriott New York Manhattan/Central Park,very good,8.0
2 Bedrooms Suite in Financial Disctrict,very good,8.3
Cambria hotel & suites New York - Times Square,excellent,8.8
Wellington Hotel,good,7.6
The Beekman| a Thompson Hotel,wonderful,9.3
NOVO360,N/A,N/A
Soho Grand Hotel,very good,8.5
Wyndham New Yorker Hotel,good,7.8
Pod 39,very good,8.2
Arlo SoHo,excellent,8.7
RIU Plaza New York Times Square,excellent,8.7
Chelsea Duplex Apartment,N/A,N/A
The Ludlow Hotel,wonderful,9.0
Sweet Home,N/A,N/A
